Player,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
228,Cole Palmer,eng ENG,"FW,MF",Chelsea,21-164,2002,5,2,242,2.7,1,1,2,0,1,1,1,0,1.4,0.6,0.9,1.5,14,22,22,0.37,0.37,0.74,0,0.37,0.51,0.34,0.85,0.21,0.56,Matches
229,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-352,1997,8,4,452,5,1,1,2,1,0,0,1,0,0.6,0.6,0.9,1.5,4,32,17,0.2,0.2,0.4,0.2,0.4,0.11,0.18,0.29,0.11,0.29,Matches
230,Callum Hudson-Odoi,eng ENG,FW,Nott'ham Forest,22-344,2000,4,3,229,2.5,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.4,18,8,25,0.39,0,0.39,0.39,0.39,0.05,0.09,0.14,0.05,0.14,Matches
231,Jack Harrison,eng ENG,MF,Everton,26-331,1996,2,1,122,1.4,1,1,2,1,0,0,0,0,0.3,0.3,0.6,0.8,6,2,6,0.74,0.74,1.48,0.74,1.48,0.2,0.41,0.62,0.2,0.62,Matches
232,James Garner,eng ENG,MF,Everton,22-218,2001,8,7,617,6.9,1,1,2,1,0,0,1,0,1.1,1.1,1.9,3,11,26,23,0.15,0.15,0.29,0.15,0.29,0.16,0.28,0.43,0.16,0.43,Matches
233,Phil Foden,eng ENG,"FW,MF",Manchester City,23-142,2000,8,7,606,6.7,1,3,4,1,0,0,0,0,0.9,0.9,1.5,2.4,14,27,48,0.15,0.45,0.59,0.15,0.59,0.13,0.22,0.35,0.13,0.35,Matches
234,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25-110,1998,7,7,627,7,1,0,1,1,0,0,1,0,2.3,2.3,1.3,3.7,21,24,41,0.14,0,0.14,0.14,0.14,0.33,0.19,0.53,0.33,0.53,Matches
235,Lewis Dunk,eng ENG,DF,Brighton,31-330,1991,8,8,720,8,1,0,1,1,0,0,2,0,1.3,1.3,0.1,1.4,15,50,3,0.12,0,0.12,0.12,0.12,0.16,0.01,0.18,0.16,0.18,Matches
236,Carney Chukwuemeka,eng ENG,MF,Chelsea,19-362,2003,2,2,125,1.4,1,0,1,1,0,0,2,0,0.1,0.1,0.1,0.2,2,4,9,0.72,0,0.72,0.72,0.72,0.08,0.09,0.16,0.08,0.16,Matches
237,Dan Burn,eng ENG,DF,Newcastle Utd,31-161,1992,8,8,720,8,1,0,1,1,0,0,1,0,0.9,0.9,0.5,1.4,5,23,13,0.12,0,0.12,0.12,0.12,0.12,0.06,0.18,0.12,0.18,Matches
238,Josh Brownhill,eng ENG,MF,Burnley,27-302,1995,7,5,491,5.5,1,0,1,1,0,0,1,0,0.5,0.5,0.7,1.2,4,14,9,0.18,0,0.18,0.18,0.18,0.09,0.13,0.22,0.09,0.22,Matches
239,Jayden Bogle,eng ENG,DF,Sheffield Utd,23-082,2000,5,4,318,3.5,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.9,3,5,12,0.28,0,0.28,0.28,0.28,0.16,0.09,0.26,0.16,0.26,Matches
240,Harvey Barnes,eng ENG,FW,Newcastle Utd,25-312,1997,6,2,187,2.1,1,1,2,1,0,0,1,0,0.7,0.7,0.9,1.6,15,5,16,0.48,0.48,0.96,0.48,0.96,0.35,0.42,0.76,0.35,0.76,Matches
241,Cameron Archer,eng ENG,FW,Sheffield Utd,22-088,2001,5,5,410,4.6,1,0,1,1,0,0,1,0,0.3,0.3,0.3,0.6,5,7,25,0.22,0,0.22,0.22,0.22,0.07,0.06,0.13,0.07,0.13,Matches
242,Elijah Adebayo,eng ENG,"FW,DF",Luton Town,25-283,1998,8,4,333,3.7,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,3,6,20,0.27,0,0.27,0.27,0.27,0.17,0.06,0.22,0.17,0.22,Matches
243,James Ward-Prowse,eng ENG,MF,West Ham,28-350,1994,7,7,620,6.9,2,3,5,2,0,0,1,0,1.6,1.6,1.6,3.2,4,21,14,0.29,0.44,0.73,0.29,0.73,0.23,0.24,0.47,0.23,0.47,Matches
244,Eddie Nketiah,eng ENG,FW,Arsenal,24-140,1999,8,7,568,6.3,2,0,2,2,0,0,1,0,1.8,1.8,0.2,2,11,9,29,0.32,0,0.32,0.32,0.32,0.29,0.03,0.32,0.29,0.32,Matches
245,James Maddison,eng ENG,MF,Tottenham,26-328,1996,8,8,668,7.4,2,5,7,2,0,0,2,0,2.1,2.1,2.6,4.7,20,81,62,0.27,0.67,0.94,0.27,0.94,0.29,0.35,0.63,0.29,0.63,Matches
246,Anthony Gordon,eng ENG,FW,Newcastle Utd,22-235,2001,7,6,542,6,2,2,4,2,0,0,5,0,1.7,1.7,1.7,3.4,34,15,46,0.33,0.33,0.66,0.33,0.66,0.28,0.28,0.56,0.28,0.56,Matches
247,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-215,1997,5,3,262,2.9,2,0,2,2,0,0,0,0,2.5,2.5,0,2.5,5,2,15,0.69,0,0.69,0.69,0.69,0.86,0.01,0.87,0.86,0.87,Matches
248,Raheem Sterling,eng ENG,"FW,MF",Chelsea,28-313,1994,8,7,637,7.1,3,0,3,3,0,0,2,0,2.4,2.4,1.2,3.5,45,27,93,0.42,0,0.42,0.42,0.42,0.34,0.16,0.5,0.34,0.5,Matches
249,Dominic Solanke,eng ENG,FW,Bournemouth,26-033,1997,8,8,720,8,3,1,4,3,0,0,1,0,3,3,0.5,3.6,13,12,39,0.37,0.12,0.5,0.37,0.5,0.38,0.07,0.45,0.38,0.45,Matches
250,Carlton Morris,eng ENG,FW,Luton Town,27-305,1995,8,8,690,7.7,3,1,4,1,2,2,1,0,3.3,1.7,0.4,2.1,8,24,42,0.39,0.13,0.52,0.13,0.26,0.43,0.05,0.48,0.22,0.27,Matches
251,Solly March,eng ENG,"FW,DF",Brighton,29-089,1994,6,6,465,5.2,3,1,4,3,0,0,0,0,2,2,0.8,2.8,12,23,44,0.58,0.19,0.77,0.58,0.77,0.38,0.16,0.54,0.38,0.54,Matches
252,Callum Wilson,eng ENG,FW,Newcastle Utd,31-232,1992,7,2,264,2.9,4,0,4,3,1,1,1,0,3.6,2.8,0,2.8,4,1,23,1.36,0,1.36,1.02,1.02,1.23,0.01,1.24,0.96,0.97,Matches
253,Ollie Watkins,eng ENG,FW,Aston Villa,27-291,1995,8,8,678,7.5,4,4,8,4,0,0,0,0,3.6,3.6,2.1,5.8,13,12,41,0.53,0.53,1.06,0.53,1.06,0.48,0.28,0.77,0.48,0.77,Matches
254,Bukayo Saka,eng ENG,FW,Arsenal,22-042,2001,7,7,612,6.8,4,2,6,2,2,2,1,0,4.1,2.5,1.8,4.2,38,24,96,0.59,0.29,0.88,0.29,0.59,0.6,0.26,0.86,0.36,0.62,Matches
255,Jarrod Bowen,eng ENG,"FW,MF",West Ham,26-301,1996,8,8,719,8,5,1,6,5,0,0,1,0,3.6,3.6,1,4.5,20,13,38,0.63,0.13,0.75,0.63,0.75,0.45,0.12,0.57,0.45,0.57,Matches
256,Adama Traoré,es ESP,"FW,DF",Fulham,27-265,1996,3,0,35,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,0,2,0,0,0,0,0,0.53,0,0.53,0.53,0.53,Matches
257,Pablo Sarabia,es ESP,"FW,MF",Wolves,31-159,1992,4,2,173,1.9,0,1,1,0,0,0,0,0,0.3,0.3,1.4,1.8,4,8,16,0,0.52,0.52,0,0.52,0.18,0.75,0.92,0.18,0.92,Matches
258,Robert Sánchez,es ESP,GK,Chelsea,25-333,1997,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
259,Sergio Reguilón,es ESP,DF,Manchester Utd,26-305,1996,2,2,162,1.8,0,0,0,0,0,0,1,0,0,0,0.2,0.2,2,4,7,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches
260,David Raya,es ESP,GK,Arsenal,28-032,1995,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
261,Pedro Porro,es ESP,DF,Tottenham,24-034,1999,7,7,626,7,0,1,1,0,0,0,1,0,0.8,0.8,1.4,2.2,10,36,24,0,0.14,0.14,0,0.14,0.12,0.19,0.31,0.12,0.31,Matches
262,Aymeric Laporte,es ESP,DF,Manchester City,29-143,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.27,0.27,0.27,Matches
263,Sergio Gómez,es ESP,FW,Manchester City,23-043,2000,2,0,16,0.2,0,1,1,0,0,0,0,0,0,0,0.2,0.2,3,1,2,0,5.63,5.63,0,5.63,0,1.06,1.06,0,1.06,Matches
264,Pablo Fornals,es ESP,"MF,FW",West Ham,27-237,1996,6,1,144,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,7,10,0,0,0,0,0,0.15,0.05,0.2,0.15,0.2,Matches
265,Marc Cucurella,es ESP,DF,Chelsea,25-087,1998,2,2,180,2,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
266,Jonny Castro,es ESP,MF,Wolves,29-228,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
267,Hugo Bueno,es ESP,DF,Wolves,21-029,2002,6,1,145,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,3,13,0,0,0,0,0,0.11,0.07,0.19,0.11,0.19,Matches
268,Pau Torres,es ESP,DF,Aston Villa,26-274,1997,8,7,690,7.7,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.4,11,37,6,0.13,0,0.13,0.13,0.13,0.05,0.01,0.06,0.05,0.06,Matches
269,Ansu Fati,es ESP,"MF,FW",Brighton,20-351,2002,4,0,119,1.3,1,0,1,1,0,0,1,0,1.8,1.8,0,1.9,4,10,6,0.76,0,0.76,0.76,0.76,1.35,0.04,1.39,1.35,1.39,Matches
270,Rodri,es ESP,MF,Manchester City,27-117,1996,6,6,480,5.3,2,1,3,2,0,0,2,1,1,1,0.9,1.9,15,58,10,0.37,0.19,0.56,0.37,0.56,0.19,0.17,0.36,0.19,0.36,Matches
271,Lesley Ugochukwu,fr FRA,MF,Chelsea,19-205,2004,5,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
272,William Saliba,fr FRA,DF,Arsenal,22-207,2001,8,8,720,8,0,1,1,0,0,0,0,0,0,0,0.1,0.1,2,37,1,0,0.12,0.12,0,0.12,0.01,0.01,0.01,0.01,0.01,Matches
273,Neal Maupay,fr FRA,FW,Everton,27-064,1996,2,1,111,1.2,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,1,0,6,0,0,0,0,0,1.16,0.05,1.22,1.16,1.22,Matches
274,Neal Maupay,fr FRA,FW,Brentford,27-064,1996,3,0,56,0.6,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,1,1,6,0,0,0,0,0,0.53,0,0.53,0.53,0.53,Matches
275,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,26-111,1997,6,2,307,3.4,0,3,3,0,0,0,0,0,0.3,0.3,1.1,1.4,2,4,21,0,0.88,0.88,0,0.88,0.08,0.33,0.41,0.08,0.41,Matches
276,Anthony Martial,fr FRA,"FW,MF",Manchester Utd,27-316,1995,6,2,192,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3,7,17,0,0,0,0,0,0.11,0.08,0.19,0.11,0.19,Matches
277,Ibrahima Konaté,fr FRA,DF,Liverpool,24-145,1999,5,2,224,2.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,2,0,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,Matches
278,Boubacar Kamara,fr FRA,MF,Aston Villa,23-328,1999,8,8,676,7.5,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.7,5,29,2,0,0,0,0,0,0.01,0.09,0.1,0.01,0.1,Matches
279,Malo Gusto,fr FRA,DF,Chelsea,20-151,2003,6,5,410,4.6,0,2,2,0,0,0,0,1,0.1,0.1,0.6,0.6,25,22,38,0,0.44,0.44,0,0.44,0.02,0.12,0.14,0.02,0.14,Matches
280,Issa Diop,fr FRA,DF,Fulham,26-281,1997,8,8,700,7.8,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,9,45,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
281,Lucas Digne,fr FRA,DF,Aston Villa,30-089,1993,8,8,710,7.9,0,2,2,0,0,0,4,0,0.2,0.2,1.4,1.5,10,27,81,0,0.25,0.25,0,0.25,0.02,0.17,0.19,0.02,0.19,Matches
282,Jean-Ricner Bellegarde,fr FRA,MF,Wolves,25-112,1998,2,2,114,1.3,0,0,0,0,0,0,0,1,0,0,0,0.1,6,5,2,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
283,Alphonse Areola,fr FRA,GK,West Ham,30-232,1993,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
284,Naouirou Ahamada,fr FRA,"FW,MF",Crystal Palace,21-202,2002,3,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,Matches
285,Kurt Zouma,fr FRA,DF,West Ham,28-355,1994,8,8,720,8,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,0,9,0,0.12,0,0.12,0.12,0.12,0.03,0.01,0.04,0.03,0.04,Matches
286,Raphaël Varane,fr FRA,DF,Manchester Utd,30-175,1993,5,4,323,3.6,1,0,1,1,0,0,0,0,1.1,1.1,0.1,1.2,6,26,1,0.28,0,0.28,0.28,0.28,0.31,0.02,0.33,0.31,0.33,Matches
287,Wilson Odobert,fr FRA,FW,Burnley,18-323,2004,2,1,102,1.1,1,0,1,1,0,0,1,0,0.2,0.2,0.4,0.7,6,0,6,0.88,0,0.88,0.88,0.88,0.2,0.38,0.58,0.2,0.58,Matches
288,Axel Disasi,fr FRA,DF,Chelsea,25-220,1998,8,8,720,8,1,0,1,1,0,0,2,0,0.8,0.8,0.2,1,6,35,6,0.12,0,0.12,0.12,0.12,0.1,0.03,0.12,0.1,0.12,Matches
289,Moussa Diaby,fr FRA,"MF,FW",Aston Villa,24-102,1999,8,8,620,6.9,2,3,5,2,0,0,0,0,1.6,1.6,2.6,4.2,22,21,46,0.29,0.44,0.73,0.29,0.73,0.23,0.37,0.61,0.23,0.61,Matches
290,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,25-274,1998,7,7,607,6.7,4,0,4,4,0,0,0,0,2.6,2.6,0.5,3.1,12,16,37,0.59,0,0.59,0.59,0.59,0.38,0.07,0.46,0.38,0.46,Matches
291,Mario Lemina,ga GAB,MF,Wolves,30-046,1993,8,8,706,7.8,0,0,0,0,0,0,6,1,1,1,0,1,4,20,6,0,0,0,0,0,0.13,0.01,0.13,0.13,0.13,Matches
292,Shandon Baptiste,gd GRN,MF,Brentford,25-192,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
293,Jeffrey Schlupp,gh GHA,"FW,MF",Crystal Palace,30-298,1992,8,8,564,6.3,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.1,5,15,17,0,0,0,0,0,0.07,0.1,0.17,0.07,0.17,Matches
294,Thomas Partey,gh GHA,"DF,MF",Arsenal,30-126,1993,4,3,251,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,10,33,4,0,0,0,0,0,0.03,0.04,0.06,0.03,0.06,Matches
295,Tariq Lamptey,gh GHA,"DF,FW",Brighton,23-017,2000,4,1,139,1.5,0,2,2,0,0,0,2,0,0,0,0.4,0.4,11,6,3,0,1.29,1.29,0,1.29,0.01,0.25,0.26,0.01,0.26,Matches
296,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32-036,1991,8,8,654,7.3,0,2,2,0,0,0,2,0,1.3,1.3,1.1,2.4,24,16,57,0,0.28,0.28,0,0.28,0.18,0.15,0.33,0.18,0.33,Matches
297,Antoine Semenyo,gh GHA,"FW,MF",Bournemouth,23-283,2000,6,3,257,2.9,1,0,1,1,0,0,1,0,0.7,0.7,0.2,0.9,10,6,17,0.35,0,0.35,0.35,0.35,0.24,0.08,0.32,0.24,0.32,Matches
298,Kudus Mohammed,gh GHA,"FW,MF",West Ham,23-076,2000,5,0,76,0.8,1,0,1,1,0,0,0,0,0,0,0,0.1,4,4,4,1.18,0,1.18,1.18,1.18,0.06,0.04,0.1,0.06,0.1,Matches
299,Kostas Tsimikas,gr GRE,MF,Liverpool,27-158,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,Matches
300,Konstantinos Mavropanos,gr GRE,DF,West Ham,25-310,1997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
301,George Baldock,gr GRE,"DF,MF",Sheffield Utd,30-222,1993,3,3,250,2.8,0,0,0,0,0,0,1,0,0,0,0.2,0.2,2,6,12,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
302,Beto,gw GNB,FW,Everton,25-259,1998,5,3,256,2.8,0,0,0,0,0,0,0,0,1.5,1.5,0.3,1.7,4,6,19,0,0,0,0,0,0.52,0.09,0.61,0.52,0.61,Matches
303,Ivan Perišić,hr CRO,FW,Tottenham,34-257,1989,5,0,103,1.1,0,1,1,0,0,0,2,0,0.1,0.1,0.9,1,15,9,17,0,0.87,0.87,0,0.87,0.1,0.75,0.85,0.1,0.85,Matches
304,Mateo Kovačić,hr CRO,MF,Manchester City,29-164,1994,6,5,457,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.7,0.9,12,29,13,0,0,0,0,0,0.04,0.14,0.18,0.04,0.18,Matches
305,Joško Gvardiol,hr CRO,DF,Manchester City,21-267,2002,6,5,461,5.1,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,11,25,10,0,0,0,0,0,0.03,0.12,0.15,0.03,0.15,Matches
306,Milos Kerkez,hu HUN,DF,Bournemouth,19-344,2003,8,8,671,7.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,14,12,29,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
307,Dominik Szoboszlai,hu HUN,MF,Liverpool,22-357,2000,8,8,720,8,1,0,1,1,0,0,1,0,0.6,0.6,1.6,2.1,13,55,38,0.12,0,0.12,0.12,0.12,0.07,0.2,0.27,0.07,0.27,Matches
308,Chiedozie Ogbene,ie IRL,"MF,FW",Luton Town,26-169,1997,8,4,419,4.7,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,31,9,32,0,0,0,0,0,0.09,0.08,0.17,0.09,0.17,Matches
309,Dara O'Shea,ie IRL,DF,Burnley,24-227,1999,4,3,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0.1,1,11,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
310,John Egan,ie IRL,DF,Sheffield Utd,30-362,1992,6,6,482,5.4,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,0,5,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
311,Matt Doherty,ie IRL,"MF,FW",Wolves,31-274,1992,4,0,138,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,4,0,0,0,0,0,0.08,0.07,0.14,0.08,0.14,Matches
312,Josh Cullen,ie IRL,MF,Burnley,27-193,1996,8,8,690,7.7,0,1,1,0,0,0,3,0,0.1,0.1,0.6,0.7,4,34,9,0,0.13,0.13,0,0.13,0.01,0.07,0.09,0.01,0.09,Matches
313,Nathan Collins,ie IRL,DF,Brentford,22-170,2001,8,7,640,7.1,0,1,1,0,0,0,2,0,0.3,0.3,0.8,1.1,3,26,4,0,0.14,0.14,0,0.14,0.05,0.11,0.16,0.05,0.16,Matches
314,Thomas Cannon,ie IRL,FW,Everton,20-293,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
315,Evan Ferguson,ie IRL,FW,Brighton,18-363,2004,8,5,362,4,4,0,4,4,0,0,0,0,2.5,2.5,0.4,2.9,4,7,14,0.99,0,0.99,0.99,0.99,0.62,0.1,0.72,0.62,0.72,Matches
316,Manor Solomon,il ISR,FW,Tottenham,24-085,1999,5,2,199,2.2,0,2,2,0,0,0,1,0,0.4,0.4,0.8,1.2,17,11,44,0,0.9,0.9,0,0.9,0.19,0.38,0.56,0.19,0.56,Matches
317,Saman Ghoddos,ir IRN,"DF,MF",Brentford,30-041,1993,3,0,48,0.5,0,0,0,0,0,0,1,0,0,0,0.3,0.3,4,6,1,0,0,0,0,0,0,0.61,0.61,0,0.61,Matches
318,Jóhann Berg Guðmundsson,is ISL,"FW,MF",Burnley,32-355,1990,4,3,171,1.9,0,1,1,0,0,0,1,0,0,0,0.2,0.2,2,13,11,0,0.53,0.53,0,0.53,0,0.12,0.12,0,0.12,Matches
319,Nicolò Zaniolo,it ITA,"FW,MF",Aston Villa,24-107,1999,6,3,259,2.9,0,0,0,0,0,0,1,0,0.6,0.6,0.6,1.2,11,10,20,0,0,0,0,0,0.2,0.22,0.42,0.2,0.42,Matches
320,Guglielmo Vicario,it ITA,GK,Tottenham,27-010,1996,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
321,Destiny Udogie,it ITA,DF,Tottenham,20-323,2002,8,8,673,7.5,0,2,2,0,0,0,3,0,0.1,0.1,0.7,0.8,24,42,41,0,0.27,0.27,0,0.27,0.01,0.1,0.11,0.01,0.11,Matches
322,Emerson Palmieri,it ITA,DF,West Ham,29-075,1994,8,8,720,8,0,1,1,0,0,0,4,0,0.1,0.1,1.6,1.7,14,23,21,0,0.12,0.12,0,0.12,0.01,0.2,0.21,0.01,0.21,Matches
323,Angelo Ogbonna,it ITA,DF,West Ham,35-147,1988,2,1,112,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
324,Luca Koleosho,it ITA,"FW,MF",Burnley,19-032,2004,8,7,502,5.6,0,1,1,0,0,0,0,0,0.3,0.3,1.1,1.4,31,10,47,0,0.18,0.18,0,0.18,0.06,0.19,0.25,0.06,0.25,Matches
325,Jorginho,it ITA,MF,Arsenal,31-301,1991,6,1,149,1.7,0,0,0,0,0,0,1,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,Matches
326,Sandro Tonali,it ITA,MF,Newcastle Utd,23-162,2000,7,5,416,4.6,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,10,16,21,0.22,0,0.22,0.22,0.22,0.14,0.14,0.28,0.14,0.28,Matches
327,Ethan Pinnock,jm JAM,DF,Brentford,30-141,1993,8,8,720,8,0,0,0,0,0,0,0,0,0.8,0.8,0.9,1.7,4,25,5,0,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches
328,Amari'i Bell,jm JAM,DF,Luton Town,29-165,1994,7,7,560,6.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,6,20,3,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
329,Bobby Reid,jm JAM,FW,Fulham,30-257,1993,7,5,436,4.8,2,0,2,2,0,0,1,0,2.5,2.5,0.1,2.6,15,13,26,0.41,0,0.41,0.41,0.41,0.52,0.03,0.55,0.52,0.55,Matches
330,Leon Bailey,jm JAM,"FW,MF",Aston Villa,26-069,1997,6,2,212,2.4,2,1,3,2,0,0,1,0,1.1,1.1,1,2.1,12,8,19,0.85,0.42,1.27,0.85,1.27,0.46,0.41,0.87,0.46,0.87,Matches
331,Michail Antonio,jm JAM,FW,West Ham,33-203,1990,8,8,593,6.6,2,1,3,2,0,0,2,0,1.1,1.1,0.6,1.6,15,9,26,0.3,0.15,0.46,0.3,0.46,0.16,0.09,0.25,0.16,0.25,Matches
332,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-346,1998,6,1,171,1.9,0,0,0,0,0,0,2,1,0,0,0,0,1,10,6,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
333,Wataru Endo,jp JPN,MF,Liverpool,30-250,1993,5,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,Matches
334,Kaoru Mitoma,jp JPN,FW,Brighton,26-150,1997,8,7,665,7.4,3,3,6,3,0,0,3,0,1.9,1.9,1.5,3.4,47,18,93,0.41,0.41,0.81,0.41,0.81,0.26,0.2,0.46,0.26,0.46,Matches
335,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,27-264,1996,8,5,414,4.6,5,0,5,5,0,0,2,0,1.2,1.2,0.6,1.8,11,12,22,1.09,0,1.09,1.09,1.09,0.27,0.13,0.4,0.27,0.4,Matches
336,Son Heung-min,kr KOR,FW,Tottenham,31-101,1992,8,8,625,6.9,6,0,6,6,0,0,0,0,3.2,3.2,1.8,4.9,17,30,69,0.86,0,0.86,0.86,0.86,0.46,0.26,0.71,0.46,0.71,Matches
337,Anass Zaroury,ma MAR,"FW,MF",Burnley,22-344,2000,3,0,60,0.7,0,0,0,0,0,0,0,1,0.1,0.1,0,0.2,1,0,5,0,0,0,0,0,0.2,0.06,0.26,0.2,0.26,Matches
